id,view1,view2,view3,text
1,-1,1,1,A man wearing a black coat and black trousers.
2,2,2,2,"A man wearing a white coat, black trousers and white shoes."
4,4,4,4,"A man wearing a black coat, gray trousers and black shoes."
5,-1,5,-1,"A man wearing a white coat, black trousers and black shoes."
9,9,9,-1,A man wearing a red coat.
10,10,10,-1,A man wearing a pink coat.
11,11,11,-1,"A man wearing a yellow coat, black trousers and white shoes."
13,13,13,-1,"A man in a black coat and black trousers, carrying a white handbag."
14,14,14,14,"A man wearing an orange coat, gray trousers and white shoes."
15,15,15,15,"A man wearing a black coat, black trousers and white shoes."
16,16,16,16,"A man in a gray coat and black trousers, carrying a white handbag."
17,17,17,17,"A man in a gray coat, black trousers and black shoes, carrying a white plastic bag."
18,18,18,18,"A man wearing a black coat, black trousers and black shoes."
19,19,19,19,"A man wearing a gray coat, black trousers and white shoes."
20,20,20,20,"A man wearing a black coat, black trousers and black shoes."
21,21,-1,21,"A man in a green coat and gray trousers, carrying a white plastic bag."
22,22,22,22,"A man wearing a black coat, black trousers and black shoes."
23,-1,-1,23,"A man wearing a yellow helmet, yellow coat and black trousers."
40,-1,-1,40,A man wearing a gray coat.
41,-1,-1,41,A man wearing a black coat.
