id,view1,view2,view3,text
2,2,2,2,"A man wearing a white coat, black trousers and white shoes."
4,4,4,4,"A man wearing a black coat, gray trousers and black shoes."
14,14,14,14,"A man wearing an orange coat, gray trousers and white shoes."
15,15,15,15,"A man wearing a black coat, black trousers and white shoes."
16,16,16,16,"A man in a gray coat and black trousers, carrying a white handbag."
17,17,17,17,"A man in a gray coat, black trousers and black shoes, carrying a white plastic bag."
18,18,18,18,"A man wearing a black coat, black trousers and black shoes."
19,19,19,19,"A man wearing a gray coat, black trousers and white shoes."
20,20,20,20,"A man wearing a black coat, black trousers and black shoes."
22,22,22,22,"A man wearing a black coat, black trousers and black shoes."
